original_title,director,genres,vote_count,vote_average,release_year,budget_adj,revenue_adj
Stretch,Joe Carnahan,Action|Comedy|Thriller,163,5.8,2014,0.0,0.0
5 Flights Up,Richard Loncraine,Drama,56,5.9,2014,5526546.30462875,940361.196644649
A Haunted House 2,Michael Tiddes,Comedy|Horror,251,5.4,2014,0.0,0.0
Love & Mercy,Bill Pohlad,Drama|Music,162,7.2,2014,0.0,26381683.551800694
Heaven is for Real,Randall Wallace,Drama,159,6.1,2014,11053092.6092575,93336884.4463644
Reach Me,John Herzfeld,Drama,24,5.1,2014,4605455.25385729,0.0
In the Blood,John Stockwell,Action|Crime|Thriller,77,5.2,2014,9210910.50771459,0.0
Lizzie Borden Took An Ax,Nick Gomez,Drama|Mystery|Thriller,29,5.9,2014,0.0,0.0
Monsters: Dark Continent,Tom Green,Thriller|Drama|Science Fiction,60,3.8,2014,0.0,0.0
Night Moves,Kelly Reichardt,Thriller|Drama,64,5.8,2014,0.0,0.0
Paper Planes,Robert Connolly,Family,32,6.3,2014,0.0,0.0
The Inbetweeners 2,Damon Beesley|Iain Morris,Comedy,156,5.9,2014,0.0,0.0
Barbie and the Secret Door,Karen J. Lloyd,Adventure|Animation|Family|Fantasy,14,6.7,2014,0.0,0.0
Time Out of Mind,Oren Moverman,Drama,31,5.4,2014,0.0,0.0
Citizenfour,Laura Poitras,Documentary,363,7.8,2014,0.0,0.0
A Little Chaos,Alan Rickman,Drama|Romance,151,5.9,2014,0.0,0.0
Bears,Alastair Fothergill|Keith Scholey,Documentary|Family,51,7.4,2014,0.0,0.0
The Possession of Michael King,David Jung,Horror,75,5.6,2014,0.0,0.0
The Town that Dreaded Sundown,Alfonso Gomez-Rejon,Thriller|Horror,99,5.8,2014,0.0,0.0
The Legend of Hercules,Renny Harlin,Action|Adventure,399,4.4,2014,64476373.5540021,56443954.8333792
Maps to the Stars,David Cronenberg,Drama,255,5.6,2014,0.0,1232756.02416574
Zombeavers,Jordan Rubin,Horror|Action|Comedy,124,4.8,2014,0.0,13767.547935881
13 Sins,Daniel Stamm,Horror|Thriller,221,6.2,2014,4605455.25385729,0.0
Lemon Tree Passage,David Campbell,Thriller|Horror|Mystery,15,4.8,2014,0.0,0.0
And So It Goes,Rob Reiner,Comedy|Drama|Romance,111,5.7,2014,27632731.5231437,23315013.1393638
Mr. Turner,Mike Leigh,History|Drama,143,6.1,2014,0.0,4978957.67494512
Bad Johnson,Huck Botko,Fantasy|Comedy,32,4.6,2014,0.0,0.0
Northmen: A Viking Saga,Claudio FÃ¤h,Adventure,90,5.3,2014,0.0,0.0
Wolves,David Hayter,Horror|Action,42,5.3,2014,16579638.9138862,0.0
Roald Dahl's Esio Trot,Dearbhla Walsh,Comedy,25,6.8,2014,0.0,0.0
Burying the Ex,Joe Dante,Comedy|Horror,78,5.2,2014,0.0,0.0
Vampire Academy,Mark Waters,Action|Fantasy|Comedy|Horror|Mystery,402,5.8,2014,0.0,0.0
The Disappearance of Eleanor Rigby: Them,Ned Benson,Drama,74,6.4,2014,0.0,907281.132647243
Life After Beth,Jeff Baena,Romance|Comedy|Horror,141,4.8,2014,2210618.5218515,81307.47032474901
Out of the Dark,LluÃ­s QuÃ­lez,Thriller|Horror,30,4.5,2014,0.0,0.0
Kick,Sajid Nadiadwala,Romance|Action|Comedy,43,6.2,2014,0.0,0.0
Cloud 9,Paul Hoen,Action|Drama|Romance|TV Movie,49,6.1,2014,0.0,0.0
Premature,Dan Beers,Comedy,67,5.1,2014,0.0,0.0
The Good Lie,Philippe Falardeau,Drama,149,7.1,2014,0.0,0.0
Bad Country,Chris Brinker,Drama|Action|Crime,65,5.7,2014,0.0,0.0
GirlHouse,Trevor Matthews|Jon Knautz,Horror|Thriller,62,4.9,2014,2901436.80993009,0.0
The Mule,Tony Mahony,Crime|Comedy,34,5.8,2014,0.0,0.0
ABCs of Death 2,Chris Nash|Rodney Ascher|Bill Plympton|Erik Matti|Lancelot Oduwa Imasuen|Kristina Buozyte|Bruno Samper|Vincenzo Natali|Larry Fessenden|Julien Maury|Alexandre Bustillo|E.L. Katz|Sylvia Soska|Jen Soska|Aharon Keshales|Navot Papushado|Julian Gilbey|Dennison Ramalho|Jerome Sable|Robert Morgan|Hajime Ohata|SÃ´ichi Umezawa|Alejandro BruguÃ©s|Todd Rohal|Julian Barratt|Jim Hosking|Robert Boocheck|Marvin Kren|Juan MartÃ­nez Moreno|Steven Kostanski,Horror,44,5.4,2014,0.0,6605.14392508213
Sharknado 2: The Second One,Anthony C. Ferrante,Thriller|Horror|Science Fiction,105,4.7,2014,0.0,0.0
Love Is Strange,Ira Sachs,Drama,68,6.4,2014,0.0,2083713.36014936
Walking on Sunshine,Max Giwa|Dania Pasquini,Comedy|Romance|Music,61,6.1,2014,0.0,0.0
Jinn,Ajmal Zaheer Ahmad 	,Thriller,19,3.6,2014,0.0,137552.974249057
Miss Julie,Liv Ullmann,Drama,15,5.4,2014,5066000.77924302,4605455.25385729
Flying Home,Dominique Deruddere,Romance,48,6.3,2014,0.0,0.0
Redirected,Emilis Velyvis,Action|Comedy|Crime|Thriller,94,5.7,2014,2486945.83708294,0.0
Behaving Badly,Tim Garrick,Comedy,118,5.0,2014,0.0,0.0
Wrong Turn 6: Last Resort,Valeri Milev,Horror,82,4.9,2014,1105309.26092575,0.0
Welcome to Me,Shira Piven,Drama|Comedy,88,5.7,2014,0.0,0.0
Alien Outpost,Jabbar Raisani,Thriller|Action|Science Fiction,58,4.1,2014,0.0,0.0
Just Before I Go,Courteney Cox,Comedy|Drama|Romance,76,6.0,2014,0.0,0.0
The Disappearance of Eleanor Rigby: Her,Ned Benson,Drama,34,6.1,2014,0.0,0.0
October Gale,Ruba Nadda,Thriller|Drama|Romance,14,5.4,2014,0.0,0.0
Get Santa,Christopher Smith,Family|Comedy,11,6.5,2014,0.0,0.0
Freezer,Mikael Salomon,Action|Thriller,35,5.3,2014,0.0,0.0
Mercenaries,Christopher Ray,Action,21,4.2,2014,0.0,0.0
Reasonable Doubt,Peter Howitt,Crime|Thriller,157,5.5,2014,7368728.40617167,0.0
The Face of an Angel,Michael Winterbottom,Thriller|Drama,28,4.2,2014,0.0,0.0
The Single Moms Club,Tyler Perry,Drama|Comedy,32,6.0,2014,0.0,15048675.977669
Song One,Kate Barker-Froyland,Drama,58,5.7,2014,5526546.30462875,29706.1074784303
Rampage: Capital Punishment,Uwe Boll,Action|Crime|Thriller,49,5.6,2014,0.0,0.0
A Girl Walks Home Alone at Night,Ana Lily Amirpour,Horror|Romance,146,7.0,2014,921091.050771459,363830.965054726
Before I Disappear,Shawn Christensen,Drama,44,5.9,2014,0.0,7599.922259915309
Afflicted,Clif Prowse|Derek Lee,Horror|Thriller,142,6.1,2014,292906.954145324,111616.892441434
The Swan Princess: A Royal Family Tale,Richard Rich,Animation|Family,14,5.6,2014,27632731.5231437,0.0
Addicted,Bille Woodruff,Drama|Thriller,46,5.3,2014,0.0,0.0
Beyond the Lights,Gina Prince-Bythewood,Drama,95,6.9,2014,6447637.35540021,13465178.6133711
About Alex,Jesse Zwick,Drama,41,6.5,2014,0.0,0.0
A Royal Christmas,Alex Zamm,TV Movie|Romance|Family,23,6.1,2014,0.0,0.0
A Long Way Down,Pascal Chaumeil,Comedy|Drama,258,6.2,2014,0.0,6610068.99893061
Lost After Dark,Ian Kessner,Horror,12,4.8,2014,0.0,0.0
Pas son genre,Lucas Belvaux,Comedy|Romance,31,6.0,2014,0.0,0.0
The Pact II,Dallas Richard Hallam|Patrick Horvath,Mystery|Horror|Thriller,37,4.5,2014,0.0,0.0
Moms' Night Out,Andrew Erwin|Jon Erwin,Comedy,92,5.7,2014,4605455.25385729,9606709.77986845
Son of Batman,Ethan Spaulding,Animation|Action|Adventure,213,6.8,2014,0.0,0.0
Earth to Echo,Dave Green,Family|Adventure|Science Fiction,223,5.7,2014,11974183.6600289,41725424.5999471
Boulevard,Dito Montiel,Drama,55,5.6,2014,0.0,116195.636054819
Falcon Rising,Ernie Barbarash,Adventure|Action,50,5.4,2014,0.0,0.0
The Damned,VÃ­ctor GarcÃ­a,Thriller|Horror|Mystery,37,5.2,2014,0.0,0.0
Sleeping Beauty,Casper Van Dien,Fantasy|Adventure,16,5.0,2014,0.0,0.0
God Help the Girl,Stuart Murdoch,Comedy|Drama|Music,74,6.7,2014,0.0,0.0
Wicked Blood,Mark Young,Action|Drama|Thriller,24,4.9,2014,3223818.6777001,0.0
Avalanche Sharks,Scott Wheeler,Action|Horror|Science Fiction,10,3.8,2014,0.0,0.0
Young Ones,Jake Paltrow,Western|Action|Drama|Science Fiction,63,5.4,2014,0.0,0.0
Catch Hell,Ryan Phillippe,Thriller|Drama,14,5.3,2014,2302727.62692864,0.0
Big Driver,Mikael Salomon,TV Movie|Crime|Mystery|Thriller,26,4.9,2014,0.0,0.0
Jamesy Boy,Trevor White,Crime|Drama|Family|Romance,32,6.0,2014,0.0,0.0
Obvious Child,Gillian Robespierre,Comedy|Romance,145,6.7,2014,0.0,2877454.36224116
My Little Pony: Equestria Girls - Rainbow Rocks,Ishi Rudell|Jayson Thiessen,Family|Animation|Music,16,6.7,2014,0.0,0.0
Red Sky,Mario Van Peebles,Action|Thriller,16,3.8,2014,23027276.2692864,0.0
Stage Fright,Jerome Sable,Horror,36,5.3,2014,0.0,0.0
Sword of Vengeance,Jim Weedon,Drama|Action|Adventure,17,5.6,2014,0.0,0.0
The Coed and the Zombie Stoner,Glenn Miller,Comedy,10,3.9,2014,0.0,0.0
Reclaim,Alan White,Thriller,30,5.1,2014,0.0,0.0
Best Night Ever,Jason Friedberg|Aaron Seltzer,Comedy,20,3.8,2014,0.0,0.0
The Gambler,Rupert Wyatt,Thriller|Crime|Drama,405,5.6,2014,23027276.2692864,36080177.2916054
Tapped Out,Allan Ungar,Action|Drama,16,5.4,2014,0.0,0.0
Halo: Nightfall,Sergio Mimica-Gezzan,Adventure|Science Fiction|Action|Thriller,52,5.2,2014,0.0,0.0
By the Gun,James Mottern,Crime|Drama|Thriller,14,3.9,2014,0.0,0.0
The Humbling,Barry Levinson,Drama|Comedy,18,4.7,2014,1842182.10154291,0.0
Plastic,Julian Gilbey,Drama|Action|Comedy|Crime,69,6.0,2014,9.21091050771459,0.0
Road to Paloma,Jason Momoa,Thriller|Drama,13,5.3,2014,0.0,0.0
The Grand Seduction,Don McKellar,Comedy,63,6.7,2014,11697856.3447975,3159358.88378502
"Electric Boogaloo: The Wild, Untold Story of Cannon Films",Mark Hartley,Documentary,25,7.2,2014,0.0,0.0
Joe,David Gordon Green,Drama,207,6.5,2014,3684364.20308583,2178810.48459521
Let's Kill Ward's Wife,Scott Foley,Comedy,48,5.3,2014,4605455.25385729,0.0
Extraterrestrial,Colin Minihan,Horror|Science Fiction,100,4.6,2014,0.0,0.0
Haunt,Mac Carter,Horror,51,5.1,2014,0.0,0.0
Olive Kitteridge,Lisa Cholodenko,Drama,41,7.1,2014,0.0,0.0
Starry Eyes,Kevin Kolsch|Dennis Widmyer,Horror,69,5.8,2014,0.0,0.0
Cantinflas,Sebastian del Amo,Drama,21,5.3,2014,0.0,0.0
Manny,Leon Gast|Ryan Moore,Documentary|Drama,33,6.6,2014,0.0,0.0
7500,Takashi Shimizu,Thriller|Horror|Mystery,138,4.3,2014,0.0,0.0
Free Fall,Malek Akkad,Drama|Thriller|Action,17,4.7,2014,1381636.57615718,0.0
5 to 7,Victor Levin,Comedy|Romance,59,7.1,2014,0.0,0.0
Angry Video Game Nerd: The Movie,James D. Rolfe|Kevin Finn,Science Fiction|Adventure|Comedy,25,5.8,2014,300208.442904789,0.0
These Final Hours,Zak Hilditch,Science Fiction|Drama|Thriller,86,6.1,2014,0.0,0.0
The Pretty One,JenÃ©e LaMarque,Comedy|Drama,51,5.9,2014,0.0,12682.5026780722
Debug,David Hewlett,Horror|Science Fiction,24,4.0,2014,0.0,0.0
Flowers in the Attic,Deborah Chow,Drama|Mystery|Thriller|TV Movie,56,6.4,2014,0.0,0.0
Outlaw Prophet: Warren Jeffs,Gabriel Range,Drama|Crime|TV Movie,12,5.9,2014,0.0,0.0
The Song,Richard Ramsey,Music|Romance|Drama,26,6.0,2014,0.0,929951.946679881
Parts Per Billion,Brian Horiuchi,Science Fiction,14,4.8,2014,460545.525385729,13816365.761571802
The Last Five Years,Richard LaGravenese,Comedy|Drama|Music|Romance,108,5.4,2014,0.0,0.0
Better Living Through Chemistry,Geoff Moore|David Posamentier,Drama|Comedy,60,5.9,2014,4605455.25385729,69213.5448281198
Cabin Fever: Patient Zero,Kaare Andrews,Horror,47,4.6,2014,0.0,0.0
Bad Turn Worse,Simon Hawkins|Zeke Hawkins,Thriller|Crime|Drama,22,5.4,2014,0.0,0.0
The Disappearance of Eleanor Rigby: Him,Ned Benson,Romance|Drama,44,6.4,2014,0.0,0.0
Cooties,Cary Murnion|Jonathan Milott,Action|Comedy|Horror,136,5.2,2014,0.0,0.0
Hangar 10,Daniel Simpson,Thriller|Horror|Science Fiction,20,4.7,2014,0.0,0.0
Leprechaun: Origins,Zach Lipovsky,Horror,34,3.9,2014,0.0,0.0
Someone Marry Barry,Rob Pearlstein,Comedy,50,5.6,2014,0.0,0.0
Viking: The Berserkers,Antony Smith,Thriller|Horror,10,5.0,2014,0.0,0.0
Kid Cannabis,John Stockwell,Drama,38,6.3,2014,0.0,0.0
Swelter,Keith Parmer,Action|Drama|Thriller,11,4.4,2014,0.0,0.0
Elsa & Fred,Michael Radford,Comedy|Family|Romance,17,6.5,2014,9210910.50771459,0.0
The Rewrite,Marc Lawrence,Romance|Comedy,121,5.8,2014,0.0,4102101.10079591
John Doe: Vigilante,Kelly Dolen,Thriller|Crime,32,6.2,2014,0.0,0.0
Ride,Helen Hunt,Comedy|Drama,27,5.9,2014,0.0,0.0
The Dark Horse,James Napier Robertson,Drama,33,4.4,2014,0.0,0.0
Wyrmwood: Road Of The Dead,Kiah Roache-Turner,Horror,85,6.0,2014,0.0,0.0
God's Not Dead,Harold Cronk,Drama,146,6.1,2014,15658547.8631148,27438381.311431
Against the Sun,Brian Falk,War|Adventure,37,6.5,2014,0.0,0.0
That Sugar Film,Damon Gameau,Documentary,36,6.4,2014,0.0,0.0
Date and Switch,Chris Nelson,Comedy,42,5.6,2014,0.0,0.0
Don't Blink,Travis Oates,Horror,18,4.1,2014,0.0,0.0
The Lookalike,Richard Gray,Thriller|Crime|Drama,11,5.0,2014,0.0,0.0
"Marvel: 75 Years, From Pulp to Pop!",Zak Knutson,Documentary,15,7.7,2014,0.0,0.0
Sniper: Legacy,Don Michael Paul,Thriller|Action,38,5.5,2014,0.0,0.0
Horsehead,Romain Basset,Fantasy|Horror,16,5.1,2014,0.0,0.0
V/H/S: Viral,Nacho Vigalondo|Marcel Sarmiento|Gregg Bishop|Justin Benson|Aaron Moorhead|Todd Lincoln ,Horror|Thriller,105,4.2,2014,0.0,2538.52693592614
Comet,Sam Esmail,Science Fiction|Comedy|Drama|Romance,93,6.7,2014,0.0,0.0
The One I Love,Charlie McDowell,Romance|Comedy|Drama,182,6.8,2014,0.0,0.0
Grace,Jeff Chan,Thriller|Horror,38,4.7,2014,0.0,0.0
The Canal,Ivan Kavanagh,Horror|Mystery|Thriller,55,5.7,2014,0.0,0.0
Mall,Joseph Hahn,Drama,15,5.0,2014,0.0,0.0
Blood Punch,Madellaine Paxson,Horror|Thriller,11,7.4,2014,0.0,0.0
The Normal Heart,Ryan Murphy,Drama,197,7.8,2014,0.0,0.0
Faults,Riley Stearns,Thriller|Drama,36,6.8,2014,0.0,0.0
Devil's Due,Matt Bettinelli-Olpin|Tyler Gillett,Horror,164,4.5,2014,6447637.35540021,33559008.31653111
Colt 45,Fabrice Du Welz,Drama|Thriller|Action|Crime,47,5.3,2014,0.0,0.0
Every Secret Thing,Amy Berg,Thriller|Drama|Crime|Mystery,39,5.6,2014,0.0,0.0
The Keeping Room,Daniel Barber,Drama|Western,35,4.8,2014,0.0,0.0
Dinosaur Island,Matt Drummond,Adventure|Science Fiction|Fantasy|Family,13,4.3,2014,0.0,0.0
Lap Dance,Greg Carter,Drama,16,3.8,2014,0.0,0.0
Let Us Prey,Brian O'Malley,Horror,44,5.4,2014,0.0,0.0
Lovesick,Luke Matheny,Romance|Comedy,17,4.9,2014,0.0,0.0
Zapped,Peter DeLuise,Family|Fantasy|Comedy|Romance,89,5.5,2014,0.0,0.0
Revenge of the Green Dragons,Andrew Lau|Andrew Loo,Drama|Action|Crime,19,5.2,2014,4605455.25385729,0.0
My Mistress,Stephen Lance,Romance|Drama,11,5.6,2014,0.0,0.0
Kajaki,Paul Katis,Thriller|War|Adventure|Drama,55,5.8,2014,0.0,0.0
Expelled,Alex Goyette,Comedy,118,6.3,2014,0.0,0.0
Authors Anonymous,Ellie Kanner,Comedy,13,3.7,2014,0.0,0.0
Dear White People,Justin Simien,Drama|Comedy,148,6.2,2014,921091.050771459,0.0
Land Ho!,Aaron Katz|Martha Stephens,Comedy|Adventure,17,5.8,2014,0.0,0.0
Felony,Matthew Saville,Mystery|Thriller|Crime,28,5.1,2014,0.0,0.0
Appleseed Alpha,Shinji Aramaki,Animation|Science Fiction|Action,121,6.4,2014,0.0,0.0
Savaged,Michael S. Ojeda,Action|Drama|Horror|Thriller,30,5.6,2014,0.0,0.0
Effie Gray,Richard Laxton,Drama,24,6.1,2014,0.0,0.0
Joy Ride 3,Declan O'Brien,Thriller,32,4.4,2014,0.0,0.0
Android Cop,Mark Atkins,Action|Science Fiction,20,3.0,2014,0.0,0.0
Scooby-Doo! WrestleMania Mystery,Brandon Vietti,Animation|Comedy|Family|Mystery,24,6.2,2014,0.0,0.0
Charlie's Farm,Chris Sun,Horror,17,4.6,2014,2763273.15231437,0.0
Video Games: The Movie,Jeremy Snead,History|Documentary|Animation,73,6.0,2014,0.0,0.0
Exists,Eduardo SÃ¡nchez,Horror,45,4.5,2014,0.0,0.0
My Old Lady,Israel Horovitz,Romance|Comedy|Drama,65,6.0,2014,4605455.25385729,3697062.36431177
I Am Ali,Clare Lewins,Documentary,18,6.6,2014,0.0,6636.46102080836
One Square Mile,Charles-Olivier Michaud,Drama,13,5.6,2014,0.0,0.0
Age of Tomorrow,James Kondelik,Thriller|Science Fiction|Action,10,2.4,2014,0.0,0.0
Rudderless,William H. Macy,Music|Drama|Comedy,65,7.1,2014,4605455.25385729,0.0
Copenhagen,Mark Raso,Adventure|Romance|Drama,41,6.6,2014,0.0,0.0
Bang Bang,Siddharth Anand,Action|Adventure|Thriller|Romance,53,6.2,2014,0.0,0.0
TEKKEN: A Man Called X,Wych Kaosayananda,Action,23,4.2,2014,0.0,0.0
Houdini,Uli Edel,TV Movie|Drama|History,53,7.1,2014,0.0,0.0
7 Minutes,Jay Martin,Drama|Crime|Thriller,23,5.0,2014,0.0,0.0
De toutes nos forces,Nils Tavernier,Drama,28,7.0,2014,0.0,0.0
Life Itself,Steve James,Documentary,104,7.7,2014,0.0,0.0
Life Partners,Susanna Fogel,Romance|Comedy,71,6.1,2014,0.0,7612.81753462611
Mercy,Peter Cornwell,Thriller|Horror,45,4.9,2014,0.0,0.0
Late Phases,AdriÃ¡n GarcÃ­a Bogliano,Thriller|Horror,37,5.6,2014,0.0,0.0
10.000 KM,Carlos Marques-Marcet,Comedy|Drama|Romance,24,6.2,2014,0.0,0.0
Mockingbird,Bryan Bertino,Horror,21,4.1,2014,0.0,0.0
A Good Man,Keoni Waxman,Action,26,4.9,2014,6447637.35540021,0.0
Fort Bliss,Claudia Myers,War|Drama,14,6.2,2014,0.0,0.0
Finding Vivian Maier,John Maloof|Charlie Siskel,Documentary,70,7.8,2014,0.0,1384967.24139677
Where Hope Grows,Chris Dowling,Drama,19,7.2,2014,0.0,1064781.2546918
The Well,Thomas S. Hammock,Horror|Thriller|Action,26,5.5,2014,0.0,0.0
Dinosaur 13,Todd Douglas Miller,Documentary,22,7.0,2014,0.0,0.0
"Like Sunday, Like Rain",Frank Whaley,Music|Drama,27,7.4,2014,0.0,25982.136360161294
Cesar Chavez,Diego Luna,Drama,10,5.3,2014,9210910.50771459,0.0
Little Accidents,Sara Colangelo,Drama,12,5.0,2014,0.0,0.0
Supermensch: The Legend of Shep Gordon,Mike Myers|Beth Aala,Documentary,20,7.6,2014,0.0,0.0
The Internet's Own Boy: The Story of Aaron Swartz,Brian Knappenberger,Documentary,117,7.8,2014,0.0,0.0
Almost Home,Todd Wilderman,Adventure|Animation|Science Fiction,45,6.8,2014,0.0,0.0
Harmontown,Neil Berkeley,Documentary,24,6.9,2014,0.0,0.0
El Inventor de Juegos,Juan Pablo Buscarini,Adventure|Family,11,4.9,2014,5526546.30462875,0.0
Petals on the Wind,Karen Moncrieff,TV Movie|Romance|Drama|Thriller,27,6.1,2014,0.0,0.0
Iron Man & Captain America: Heroes United,Leo Riley,Adventure|Animation|Action,13,6.2,2014,0.0,0.0
Preservation,Christopher Denham,Thriller|Horror,35,5.1,2014,0.0,0.0
My Man is a Loser,Mike Young,Comedy,14,4.9,2014,0.0,0.0
Virunga,Orlando von Einsiedel,Documentary|War,55,7.9,2014,0.0,0.0
Interstellar: Nolan's Odyssey,Dan Storey,Documentary,79,7.9,2014,0.0,0.0
American Muscle,Ravi Dhar,Action,12,2.8,2014,0.0,0.0
Deep in the Darkness,Colin Theys,Horror|Thriller,10,4.9,2014,0.0,0.0
Jacky au royaume des filles,Riad Sattouf,Comedy,31,5.2,2014,0.0,0.0
Alien Abduction,Matty Beckerman,Horror|Science Fiction|Thriller,51,4.6,2014,0.0,0.0
ì‹ ì˜ í•œ ìˆ˜,Cho Beom-gu,Action|Crime|Drama,20,6.8,2014,0.0,0.0
The Frame,Jamin Winans,Drama|Science Fiction,12,6.1,2014,0.0,0.0
Batman: Strange Days,Bruce Timm,Action|Animation,20,7.6,2014,0.0,0.0
Boys of Abu Ghraib,Luke Moran,Drama|War|Thriller,16,5.9,2014,0.0,0.0
Born to Race: Fast Track,Alex Ranarivelo,Action,18,5.3,2014,0.0,0.0
The Falling,Carol Morley,Drama|Thriller,33,4.8,2014,0.0,0.0
Poker Night,Greg Francis,Thriller|Action|Crime,60,5.5,2014,0.0,0.0
I Am Santa Claus,Tommy Avallone,Drama|Documentary|Comedy,11,6.2,2014,0.0,0.0
Postman Pat: The Movie,Mike Disa,Adventure|Animation|Family,11,4.9,2014,0.0,0.0
Creep,Patrick Brice,Horror|Thriller,110,5.9,2014,0.0,0.0
The Identical,Dustin Marcellino,Music|Drama,10,5.0,2014,11053092.6092575,0.0
Miss Meadows,Karen Leigh Hopkins,Drama,31,4.6,2014,1842182.10154291,0.0
Supremacy,Deon Taylor,Crime|Drama,12,5.8,2014,0.0,0.0
The Look of Silence,Joshua Oppenheimer,Documentary,46,7.8,2014,0.0,141402.213750231
The Outsider,Brian A Miller,Action|Crime|Drama|Mystery|Thriller,30,4.7,2014,3684364.20308583,0.0
Iris,Albert Maysles,Documentary,34,7.5,2014,0.0,0.0
Squatters,Martin Weisz,Drama,15,6.7,2014,0.0,0.0
The Redwood Massacre,David Ryan Keith,Fantasy|Horror,17,3.8,2014,144298.124013856,0.0
Bird People,Pascale Ferran,Drama|Fantasy|Romance,32,5.0,2014,0.0,0.0
Ribbit,Mamat Khalid,Animation|Comedy|Family|Adventure,10,3.4,2014,0.0,0.0
How to Build a Better Boy,Paul Hoen,Family|Science Fiction,51,5.8,2014,0.0,0.0
Aloft,Claudia Llosa,Drama,20,5.1,2014,7368728.40617167,48897.03952125369
Jarhead 2: Field of Fire,Don Michael Paul,War|Action,59,5.4,2014,0.0,0.0
Survivor,John Lyde,Science Fiction|Action|Fantasy,23,4.9,2014,0.0,0.0
Seal Team Eight: Behind Enemy Lines,Roel ReinÃ©,Action|War|Drama,37,4.7,2014,0.0,0.0
Ask Me Anything,Allison Burnett,Drama|Mystery|Thriller,103,5.4,2014,875036.498232886,0.0
Suburban Gothic,Richard Bates Jr.,Horror|Comedy,19,5.1,2014,0.0,0.0
Welcome to New York,Abel Ferrara,Drama,29,5.5,2014,0.0,0.0
An Honest Liar,Tyler Measom|Justin Weinstein,History|Comedy|Documentary,43,7.1,2014,0.0,0.0
Heavenly Sword,Gun Ho Jang,Adventure|Action|Animation|Fantasy,11,5.8,2014,5526546.30462875,0.0
JLA Adventures: Trapped in Time,Giancarlo Volpe,Family|Animation|Action|Science Fiction,43,5.8,2014,0.0,0.0
Enchanted Kingdom,Patrick Morris|Neil Nightingale,Documentary,12,5.2,2014,16.5796389138862,0.0
Kristy,Olly Blackburn,Thriller|Horror,59,6.1,2014,6355528.25032307,0.0
I Am Soldier,Ronnie Thompson,Action|Thriller|War,23,5.2,2014,0.0,0.0
Desert Dancer,Richard Raymond,Drama,13,6.5,2014,0.0,0.0
See No Evil 2,Jen Soska|Sylvia Soska,Horror,42,4.1,2014,0.0,0.0
Queen and Country,John Boorman,Drama,14,6.0,2014,0.0,0.0
Goodbye to All That,Angus MacLachlan,Comedy,21,5.2,2014,0.0,0.0
Northern Soul,Elaine Constantine,Music|Drama,16,4.7,2014,0.0,0.0
Doctor Who: Last Christmas,Paul Wilmshurst,Science Fiction|Adventure|Drama|Fantasy,50,7.9,2014,0.0,0.0
Lilting,Hong Khaou,Drama,32,7.1,2014,0.0,0.0
Fear Clinic,Robert Hall,Horror,15,4.1,2014,0.921091050771459,0.0
School Dance,Nick Cannon,Comedy|Music,11,6.5,2014,0.0,0.0
Valley Uprising,Josh Lowell|Peter Mortimer|Nick Rosen,Adventure|Documentary,12,7.9,2014,0.0,0.0
9 Kisses,Elaine Constantine,Romance,10,6.8,2014,0.0,0.0
In My Dreams,Kenny Leon,Romance|Drama|Fantasy,28,6.3,2014,0.0,0.0
Julia,Matthew A. Brown,Thriller|Horror,17,4.8,2014,0.0,2496.15674759065
Perfect Sisters,Stanley M. Brooks,Thriller|Drama|Crime,67,5.5,2014,0.0,0.0
Ironclad 2: Battle for Blood,Jonathan English,Action|Adventure,25,5.3,2014,0.0,0.0
Jackass Presents: Bad Grandpa .5,Jeff Tremaine,Comedy,68,5.8,2014,0.0,0.0
Dark Was the Night,Jack Heller,Horror|Thriller,43,5.2,2014,0.0,0.0
Asthma,Jake Hoffman,Romance|Drama,10,6.5,2014,0.0,0.0
Saint Laurent,Bertrand Bonello,Drama,53,5.8,2014,0.0,0.0
Street Fighter: Assassin's Fist,Joey Ansah,Adventure|Action,27,6.4,2014,0.0,0.0
Jamie Marks Is Dead,Carter Smith,Drama|Thriller,14,5.9,2014,0.0,0.0
The Device,Jeremy Berg,Thriller|Horror|Science Fiction,16,3.3,2014,0.0,0.0
WolfCop,Lowell Dean,Horror|Comedy,30,4.5,2014,0.0,0.0
At the Devil's Door,Nicholas McCarthy,Horror,60,4.7,2014,0.0,0.0
Roger Waters: The Wall,Sean Evans|Roger Waters,Music,25,6.9,2014,0.0,0.0
Kelly & Cal,Jen McGowan,Drama|Comedy,14,5.9,2014,0.0,0.0
Cat Run 2,John Stockwell,Action,13,4.3,2014,0.0,0.0
The Remaining,Casey La Scala,Thriller|Horror,61,4.3,2014,0.0,1077310.85625545
Apocalypse Pompeii,Ben Demaree,Adventure|Action,24,5.3,2014,0.0,0.0
The Search for General Tso,Ian Cheney,Documentary,14,6.9,2014,0.0,0.0
Take Care,Liz Tuccillo,Comedy|Drama|Romance,17,5.6,2014,0.0,0.0
Low Down,Jeff Preiss,Drama|Music,13,4.8,2014,0.0,0.0
The Prophet,Roger Allers,Animation,14,7.3,2014,0.0,0.0
JohnnyExpress,Kyungmin Woo,Animation|Comedy|Science Fiction,14,7.8,2014,0.0,0.0
Sharktopus vs Pteracuda,Kevin O'Neill,TV Movie|Science Fiction|Action|Adventure|Horror,10,3.7,2014,0.0,0.0
